具體時間,日期,星期幾,備註
20:54,0726,mon
21:00,0727,tue
21:39,0728,wed
21:15,0802,Mon
21:27,0803,Tue
21:11,0804,wed
21:07,0809,mon
21:18,0813,Fri
21:14,0816,Mon
21:05,0817,Tue
21:11,0823,mon
21:15,0824,tue
20:38,0825,Wed
21:30,0826,Thu
22:00,0826,Thu
21:16,0827,Fri
21:37,0830,mon
21:16,0831,Tue
21:02,0901,Wed
21:00,0909,Thu
21:07,0910,Fri
21:37,0913,Mon
21:25,0914,Tue
20:59,0915,Wed,=
21:17,0916,Thu
21:16,0917,Fri
21:26,0927,mon
21:24,0928,Tue
21:00,0929,wed
21:21,0930,Thur
21:27,1001,Fri
20:53,1004,Mon
20:56,1005,tue
20:52,1006,wed
21:04,1007,thur
21:16,1012,Tue
21:34,1015,Fri
21:05,1019,tue
20:51,1025,mon
21:34,1026,tue
21:14,1027,wed
21:37,1028,thu
21:00,1102,Wed
21:00,1116,Tue
20:50,1117,wed
20:46,11/23,Tue
21:14,11/24,wed,low
21:00,12/1,wed
21:14,12/7,tue
21:16,12/9,wed
21:03,12/13,Mon
21:08,12/14,tue
21:12,12/27,mon
21:08,12/29,wed
21:09,1/11,Tue
12:52,1/12,Wed
21:30,1/12,Wed
21:04,1/13,Thu
21:32,118,tue
21:11,124,Mon
21:26,125,tue
13:02,126,Wed
20:48,27,Mon
21:22,216,Wed
21:14,218,Fri
21:29,221,mon
21:36,222,tue
21:18,225,Fri
21:14,31,Tue
21:06,3/4,Fri
21:52,3/17,Thu
20:53,3/22,Tue
21:01,03/29,tue
21:35,03/30,Wed
21:07,03/31,thu
21:09,04/01,Fri
20:51,0406,Wed
21:41,0415,fri
21:15,0418,mon
21:07,0420,Wed
21:26,0427,Wed
21:14,0502,Mon
21:14,0503,tue
21:08,0504,wed
21:08,0505,thu,much less than yesterday
21:09,0511,wed
21:14,0512,Thur
21:23,0519,Thu
21:52,0525,Wed
21:47,0530,Mon
21:29,0531,Tue
21:04,0606,Mon
21:04,0608,Wed
21:18,0613,Mon
21:35,0614,Tue
22:21,0704,mon
21:00,0707,thu
21:08,0711,mon
21:15,0720,Wed
21:01,0726,Tue
21:17,0802,tue
21:27,0805,fri
21:23,0808,Mon
21:15,0809,tue
09:46,0811,Thu
20:57,0811,thur
13:05,0812,fri
20:49,0816,Tue
21:05,0818,thu
20:45,0825,Thu
20:53,0829,Mon
12:00,0830,Tue
21:02,0908,thu
09:43,0919,mon
21:23,0920,Tue
